SiteName;SiteAddress;SiteCity;SitePostalCode;SitePhone;SiteType;AEDPlacementLocation;InstalledUnits;address;longitude;latitude
"UGDSB - Centennial HS";"289 College Ave.";"Guelph";"N1G 1S9";"(519) 821-0360";"School - Secondary";"outside main office";1;"289 College Ave.Guelph , N1G 1S9";-80.2472389;43.521567
"UGDSB - Centre Wellington HS";"905 Scotland St.";"Fergus";"N1M 1Y7";"(519) 843-2500";"School - Secondary";"outside gymnasium";1;"905 Scotland St.Fergus , N1M 1Y7";-80.3571599;43.7025
"UGDSB - College Heights";"371 College Ave., W.";"Guelph";"N1G 2X7";"(519) 821-4510";"School - Secondary";"right across from gymnasium";1;"371 College Ave., W.Guelph , N1G 2X7";-80.249406;43.5199435
"UGDSB - Drayton Heights Public School";"75 Wellington St.";"Drayton";"N0G 1P0";"(519) 638-3067";"School - Elementary";"lobby across from teachers staff room";1;"75 Wellington St.Drayton , N0G 1P0";-80.67341;43.75071
"UGDSB - Erin High School";"14 Boland Drive";"Hillsburgh";"N0B 1T0";"(519) 833-9665";"School - Secondary";"outside gymnasium by theatre";1;"14 Boland DriveHillsburgh , N0B 1T0";-80.0672506;43.7779182
"UGDSB - Erin Public School";"RR#1 5757 Fifth Line, Rockwood N0B 2K0";"Rockwood";"N0B 2K0";"(519) 833-9685";"School - Elementary";"";;"RR#1 5757 Fifth Line, Rockwood N0B 2K0Rockwood , N0B 2K0";;
"UGDSB - Fred A. Hamilton";"160 Ironwood Rd., Guelph N1G 3R4";"Guelph";"N1G 3R4";"(519) 836-0080";"School - Elementary";"";;"160 Ironwood Rd., Guelph N1G 3R4Guelph , N1G 3R4";-80.23268;43.51366
"UGDSB - GCVI";"155 Paisley St.";"Guelph";"N1H 2P3";"(519) 824-9800";"School - Secondary";"outside gymnasium";1;"155 Paisley St.Guelph , N1H 2P3";-80.2597399;43.5429
"UGDSB - John F Ross";"21 Meyers Drive";"Guelph";"N1E 4H1";"(519) 822-7090";"School - Secondary";"E. L. Fox foyer by stage facility";1;"21 Meyers DriveGuelph , N1E 4H1";-80.2463409;43.5618385
"UGDSB - June Avenue";"30 June Avenue, Guelph N1H 1H6";"Guelph";"N1H 1H6";"(519) 824-4560";"School - Elementary";"";;"30 June Avenue, Guelph N1H 1H6Guelph , N1H 1H6";-80.27601;43.55516
"UGDSB - Kenilworth Public School";"7478 Sideroad 7 W,   PO Box 40";"Kenilworth";"N0G 2E0";"(519) 848-3320";"School - Elementary";"outside gymnasium";1;"7478 Sideroad 7 W,   PO Box 40Kenilworth , N0G 2E0";-80.6343866;43.8958675
"UGDSB - Maryborough Public School";"73 McGivern Street, Moorefield    N0G 2K0";"Moorefield";"N0G 2K0";"(519) 638-3095";"School - Elementary";"";;"73 McGivern Street, Moorefield    N0G 2K0Moorefield , N0G 2K0";-80.7450964;43.7629359
"UGDSB - Minto-Clifford PS";"RR#1 5804 Hwy. 89, Harriston N0G 1Z0";"Harriston";"N0G 1Z0";"(519) 338-2920";"School - Elementary";"";;"RR#1 5804 Hwy. 89, Harriston N0G 1Z0Harriston , N0G 1Z0";-80.8676463;43.9176585
"UGDSB - Mitchell Woods";"670 Willow Rd., Guelph N1H 8K2";"Guelph";"N1H 8K2";"(519) 829-3123";"School - Elementary";"";;"670 Willow Rd., Guelph N1H 8K2Guelph , N1H 8K2";-80.2950066;43.5275695
"UGDSB - Norwell District Palmerston";"135 Cumberland St., Po Box 160";"Palmerston";"N0G 2P0";"(519) 343-3107";"School - Secondary";"outside gymnasium";1;"135 Cumberland St., Po Box 160Palmerston , N0G 2P0";-80.84563;43.8328
"UGDSB - Palmerston Public School";"185 Daniel St., Erin N0B 1T0";"Erin";"N0B 1T0";"(519) 343-3520";"School - Elementary";"";;"185 Daniel St., Erin N0B 1T0Erin , N0B 1T0";-80.06681;43.7751
"UGDSB - Ponsonby Public School";"5923 Wellington Rd 7, RR#5 Guelph";"Guelph";"N1H 6J2";"(519) 824-9447";"School - Elementary";"Main foyer by staff room";1;"5923 Wellington Rd 7, RR#5 GuelphGuelph , N1H 6J2";-80.3540841;43.6222026
"UGDSB - Priory Park";"275 Scottsdale Drive, Guelph, N1G 3A1";"Guelph";"N1G 3A1";"(519) 836-7710";"School - Elementary";"";;"275 Scottsdale Drive, Guelph, N1G 3A1Guelph , N1G 3A1";-80.2407768;43.5209464
"UGDSB - Rockwood Centennial";"Passmore Street, Rockwood   N0B 2K0";"Rockwood";"N0B 2K0";"(519) 856-9556";"School - Elementary";"";;"Passmore Street, Rockwood   N0B 2K0Rockwood , N0B 2K0";;
"UGDSB - Ross R. MacKay School";"PO Box 190, Hillsburgh";"Hillsburgh";"N0B 1Z0";"(519) 855-4957";"School - Elementary";"main foyer outside main office";1;"PO Box 190, HillsburghHillsburgh , N0B 1Z0";;
"UGDSB - Salem Public School";"23 Woolwich Street";"Elora";"N0B 1S0";"(519) 846-5363";"School - Elementary";"outside gymnasium";1;"23 Woolwich StreetElora , N0B 1S0";-80.44291;43.69511
"UGDSB - Sir Isaac Brock";"111 Colonial Drive, Guelph N1L 1R3";"Guelph";"N1L 1R3";"(519) 824-1442";"School - Elementary";"";;"111 Colonial Drive, Guelph N1L 1R3Guelph , N1L 1R3";-80.18594;43.51935
"UGDSB - Tytler PS";"131Ontario Street, Guelph N1E 3B3";"Guelph";"N1E 3B3";"(519) 822-9271";"School - Elementary";"";;"131Ontario Street, Guelph N1E 3B3Guelph , N1E 3B3";-80.2346463;43.5450832
"UGDSB - Victoria Terrace";"500 Victoria Terrace, Fergus N1M 2G5";"Fergus";"N1M 2G5";"(519) 843-2720";"School - Elementary";"";;"500 Victoria Terrace, Fergus N1M 2G5Fergus , N1M 2G5";-80.37864;43.71137
"UGDSB - Westwood PS";"495 Willow Rd., Guelph N1H 7C7";"Guelph";"N1H 7C7";"(519) 823-5450";"School - Elementary";"";;"495 Willow Rd., Guelph N1H 7C7Guelph , N1H 7C7";-80.2869655;43.5342598
"UGDSB - Willow Road";"125 Willow Rd., Guelph N1H 1W4";"Guelph";"N1H 1W4";"(519) 821-1760";"School - Elementary";"";;"125 Willow Rd., Guelph N1H 1W4Guelph , N1H 1W4";-80.2752168;43.5427629
"University of Guelph FRT";"50 Stone Rd., E.,";"Guelph";"N1G 2W1";"";"";"";;"50 Stone Rd., E., Guelph , N1G 2W1";-80.2233031;43.5278878
"Victoria Park Seniors Centre";"150 Albert St W.";"Fergus";"N1M 1X2";"(519) 787-1814";"Seniors Centre";"lobby";1;"150 Albert St W.Fergus , N1M 1X2";-80.37351;43.70273
"Waverley Drive Public School ";"140 Waverley Drive";"Guelph";"";"";"";"";;"140 Waverley Drive Guelph  ,";-80.2590024;43.5728015
"WCDSB - Bishop Macdonnel HS";"200 Clair Road W., Guelph  N1L 1G1";"Guelph";"N1L 1G1";"519-822-9752 X 307";"School - Secondary";"";;"200 Clair Road W., Guelph  N1L 1G1Guelph , N1L 1G1";-80.196063;43.4948988
"WCDSB - St. James Catholic HS";"57 Victoria Road N., Guelph   N1E 5G9";"Guelph";"N1E 5G9";"519-822-4290";"School - Secondary";"";;"57 Victoria Road N., Guelph   N1E 5G9Guelph , N1E 5G9";-80.2339886;43.5593375
"Wellington North Municipal Office";"7490 Sideroad 7 West, Kenilworth";"Kenilworth";"N0G 2E0";"519-848-3620 ext. 23";"Other";"";;"7490 Sideroad 7 West, KenilworthKenilworth , N0G 2E0";-80.6324943;43.8972894
"Wellington Terrace Extended Care";"474 Wellington Rd. 18";"Fergus";"N1M 1X2";"(519) 846-5359 X 222";"Seniors Centre";"lobby-main floor by elevator";1;"474 Wellington Rd. 18Fergus , N1M 1X2";-80.4051984;43.6927949
"Wellington Terrace Extended Care";"474 Wellington Rd. 18";"Fergus";"N1M 0A1";"(519) 846-5359 X 222";"Seniors Centre";"nursing cart";1;"474 Wellington Rd. 18Fergus , N1M 0A1";-80.4051984;43.6927949
"West End Recreation Centre";"21 Imperial Rd. S";"Guelph";"N1E 5H4";"(519) 837-5657";"Recreation Centre";"outside gymnasium";1;"21 Imperial Rd. SGuelph , N1E 5H4";;
"West End Recreation Centre";"21 Imperial Rd. S";"Guelph";"N1E 5H4";"(519) 837-5657";"Recreation Centre";"Arena # 1 by Zamboni entrance";1;"21 Imperial Rd. SGuelph , N1E 5H4";;
"Westminster Woods Public School ";"140 Goodwin Drive ";"Guelph";"";"";"";"";;"140 Goodwin Drive Guelph  ,";;
"Wildwinds Golf Course";"Wellington Rd 29N,";"Fergus";"N1M 2W7";"";"";"";;"Wellington Rd 29N, Fergus , N1M 2W7";-80.37816;43.70543
